"","year","state","month","number","date"
"537",2015,"Amapa","mar",2,"2015-01-01"
"538",2016,"Amapa","mar",5,"2016-01-01"
"539",2017,"Amapa","mar",0,"2017-01-01"
"540",1998,"Amapa","apr",0,"1998-01-01"
"541",1999,"Amapa","apr",0,"1999-01-01"
"542",2000,"Amapa","apr",0,"2000-01-01"
"543",2001,"Amapa","apr",0,"2001-01-01"
"544",2002,"Amapa","apr",0,"2002-01-01"
"545",2003,"Amapa","apr",2,"2003-01-01"
"546",2004,"Amapa","apr",0,"2004-01-01"
"547",2005,"Amapa","apr",0,"2005-01-01"
"548",2006,"Amapa","apr",0,"2006-01-01"
"549",2007,"Amapa","apr",0,"2007-01-01"
"550",2008,"Amapa","apr",2,"2008-01-01"
"551",2009,"Amapa","apr",0,"2009-01-01"
"552",2010,"Amapa","apr",2,"2010-01-01"
"553",2011,"Amapa","apr",0,"2011-01-01"
"554",2012,"Amapa","apr",2,"2012-01-01"
"555",2013,"Amapa","apr",2,"2013-01-01"
"556",2014,"Amapa","apr",0,"2014-01-01"
"557",2015,"Amapa","apr",0,"2015-01-01"
"558",2016,"Amapa","apr",0,"2016-01-01"
"559",2017,"Amapa","apr",3,"2017-01-01"
"560",1998,"Amapa","may",0,"1998-01-01"
"561",1999,"Amapa","may",0,"1999-01-01"
"562",2000,"Amapa","may",0,"2000-01-01"
"563",2001,"Amapa","may",0,"2001-01-01"
"564",2002,"Amapa","may",3,"2002-01-01"
"565",2003,"Amapa","may",0,"2003-01-01"
"566",2004,"Amapa","may",0,"2004-01-01"
"567",2005,"Amapa","may",0,"2005-01-01"
"568",2006,"Amapa","may",0,"2006-01-01"
"569",2007,"Amapa","may",0,"2007-01-01"
"570",2008,"Amapa","may",0,"2008-01-01"
"571",2009,"Amapa","may",2,"2009-01-01"
"572",2010,"Amapa","may",2,"2010-01-01"
"573",2011,"Amapa","may",2,"2011-01-01"
"574",2012,"Amapa","may",2,"2012-01-01"
"575",2013,"Amapa","may",0,"2013-01-01"
"576",2014,"Amapa","may",0,"2014-01-01"
"577",2015,"Amapa","may",0,"2015-01-01"
"578",2016,"Amapa","may",1,"2016-01-01"
"579",2017,"Amapa","may",1,"2017-01-01"
"580",1998,"Amapa","jun",0,"1998-01-01"
"581",1999,"Amapa","jun",2,"1999-01-01"
"582",2000,"Amapa","jun",0,"2000-01-01"
"583",2001,"Amapa","jun",0,"2001-01-01"
"584",2002,"Amapa","jun",0,"2002-01-01"
"585",2003,"Amapa","jun",0,"2003-01-01"
"586",2004,"Amapa","jun",5,"2004-01-01"
"587",2005,"Amapa","jun",2,"2005-01-01"
"588",2006,"Amapa","jun",0,"2006-01-01"
"589",2007,"Amapa","jun",0,"2007-01-01"
"590",2008,"Amapa","jun",0,"2008-01-01"
"591",2009,"Amapa","jun",1,"2009-01-01"
"592",2010,"Amapa","jun",0,"2010-01-01"
"593",2011,"Amapa","jun",0,"2011-01-01"
"594",2012,"Amapa","jun",7,"2012-01-01"
"595",2013,"Amapa","jun",1,"2013-01-01"
"596",2014,"Amapa","jun",0,"2014-01-01"
"597",2015,"Amapa","jun",3,"2015-01-01"
"598",2016,"Amapa","jun",2,"2016-01-01"
"599",2017,"Amapa","jun",2,"2017-01-01"
"600",1998,"Amapa","jul",0,"1998-01-01"
"601",1999,"Amapa","jul",0,"1999-01-01"
"602",2000,"Amapa","jul",0,"2000-01-01"
"603",2001,"Amapa","jul",1,"2001-01-01"
"604",2002,"Amapa","jul",1,"2002-01-01"
"605",2003,"Amapa","jul",0,"2003-01-01"
"606",2004,"Amapa","jul",2,"2004-01-01"
"607",2005,"Amapa","jul",0,"2005-01-01"
"608",2006,"Amapa","jul",0,"2006-01-01"
"609",2007,"Amapa","jul",0,"2007-01-01"
"610",2008,"Amapa","jul",0,"2008-01-01"
"611",2009,"Amapa","jul",4,"2009-01-01"
"612",2010,"Amapa","jul",2,"2010-01-01"
"613",2011,"Amapa","jul",5,"2011-01-01"
"614",2012,"Amapa","jul",3,"2012-01-01"
"615",2013,"Amapa","jul",1,"2013-01-01"
"616",2014,"Amapa","jul",4,"2014-01-01"
"617",2015,"Amapa","jul",5,"2015-01-01"
"618",2016,"Amapa","jul",1,"2016-01-01"
"619",2017,"Amapa","jul",3,"2017-01-01"
"620",1998,"Amapa","aug",1,"1998-01-01"
"621",1999,"Amapa","aug",0,"1999-01-01"
"622",2000,"Amapa","aug",3,"2000-01-01"
"623",2001,"Amapa","aug",12,"2001-01-01"
"624",2002,"Amapa","aug",18,"2002-01-01"
"625",2003,"Amapa","aug",14,"2003-01-01"
"626",2004,"Amapa","aug",9,"2004-01-01"
"627",2005,"Amapa","aug",4,"2005-01-01"
"628",2006,"Amapa","aug",11,"2006-01-01"
"629",2007,"Amapa","aug",5,"2007-01-01"
"630",2008,"Amapa","aug",4,"2008-01-01"
"631",2009,"Amapa","aug",20,"2009-01-01"
"632",2010,"Amapa","aug",1,"2010-01-01"
"633",2011,"Amapa","aug",16,"2011-01-01"
"634",2012,"Amapa","aug",19,"2012-01-01"
"635",2013,"Amapa","aug",9,"2013-01-01"
"636",2014,"Amapa","aug",18,"2014-01-01"
"637",2015,"Amapa","aug",40,"2015-01-01"
"638",2016,"Amapa","aug",37,"2016-01-01"
"639",2017,"Amapa","aug",33,"2017-01-01"
"640",1998,"Amapa","sep",20,"1998-01-01"
"641",1999,"Amapa","sep",4,"1999-01-01"
"642",2000,"Amapa","sep",19,"2000-01-01"
"643",2001,"Amapa","sep",95,"2001-01-01"
"644",2002,"Amapa","sep",73,"2002-01-01"
"645",2003,"Amapa","sep",88,"2003-01-01"
"646",2004,"Amapa","sep",67,"2004-01-01"
"647",2005,"Amapa","sep",97,"2005-01-01"
"648",2006,"Amapa","sep",112,"2006-01-01"
"649",2007,"Amapa","sep",61,"2007-01-01"
"650",2008,"Amapa","sep",83,"2008-01-01"
"651",2009,"Amapa","sep",188,"2009-01-01"
"652",2010,"Amapa","sep",63,"2010-01-01"
"653",2011,"Amapa","sep",128,"2011-01-01"
"654",2012,"Amapa","sep",168,"2012-01-01"
"655",2013,"Amapa","sep",85,"2013-01-01"
"656",2014,"Amapa","sep",137,"2014-01-01"
"657",2015,"Amapa","sep",192,"2015-01-01"
"658",2016,"Amapa","sep",142,"2016-01-01"
"659",2017,"Amapa","sep",95,"2017-01-01"
"660",1998,"Amapa","oct",42,"1998-01-01"
"661",1999,"Amapa","oct",25,"1999-01-01"
"662",2000,"Amapa","oct",42,"2000-01-01"
"663",2001,"Amapa","oct",194,"2001-01-01"
"664",2002,"Amapa","oct",557,"2002-01-01"
"665",2003,"Amapa","oct",355,"2003-01-01"
"666",2004,"Amapa","oct",412,"2004-01-01"
"667",2005,"Amapa","oct",335,"2005-01-01"
"668",2006,"Amapa","oct",405,"2006-01-01"
"669",2007,"Amapa","oct",162,"2007-01-01"
"670",2008,"Amapa","oct",395,"2008-01-01"
"671",2009,"Amapa","oct",765,"2009-01-01"
"672",2010,"Amapa","oct",265,"2010-01-01"
"673",2011,"Amapa","oct",304,"2011-01-01"
"674",2012,"Amapa","oct",475,"2012-01-01"
"675",2013,"Amapa","oct",385,"2013-01-01"
"676",2014,"Amapa","oct",480,"2014-01-01"
"677",2015,"Amapa","oct",827,"2015-01-01"
"678",2016,"Amapa","oct",793,"2016-01-01"
"679",2017,"Amapa","oct",468,"2017-01-01"
"680",1998,"Amapa","nov",131,"1998-01-01"
"681",1999,"Amapa","nov",26,"1999-01-01"
"682",2000,"Amapa","nov",157,"2000-01-01"
"683",2001,"Amapa","nov",406,"2001-01-01"
"684",2002,"Amapa","nov",1.096,"2002-01-01"
"685",2003,"Amapa","nov",750,"2003-01-01"
"686",2004,"Amapa","nov",949,"2004-01-01"
"687",2005,"Amapa","nov",685,"2005-01-01"
"688",2006,"Amapa","nov",207,"2006-01-01"
"689",2007,"Amapa","nov",198,"2007-01-01"
"690",2008,"Amapa","nov",266,"2008-01-01"
"691",2009,"Amapa","nov",1.019,"2009-01-01"
"692",2010,"Amapa","nov",339,"2010-01-01"
"693",2011,"Amapa","nov",282,"2011-01-01"
"694",2012,"Amapa","nov",969,"2012-01-01"
"695",2013,"Amapa","nov",341,"2013-01-01"
"696",2014,"Amapa","nov",484,"2014-01-01"
"697",2015,"Amapa","nov",1.3,"2015-01-01"
"698",2016,"Amapa","nov",1.161,"2016-01-01"
"699",2017,"Amapa","nov",858,"2017-01-01"
"700",1998,"Amapa","dec",84,"1998-01-01"
"701",1999,"Amapa","dec",41,"1999-01-01"
"702",2000,"Amapa","dec",30,"2000-01-01"
"703",2001,"Amapa","dec",593,"2001-01-01"
"704",2002,"Amapa","dec",200,"2002-01-01"
"705",2003,"Amapa","dec",411,"2003-01-01"
"706",2004,"Amapa","dec",777,"2004-01-01"
"707",2005,"Amapa","dec",38,"2005-01-01"
"708",2006,"Amapa","dec",74,"2006-01-01"
"709",2007,"Amapa","dec",14,"2007-01-01"
"710",2008,"Amapa","dec",32,"2008-01-01"
"711",2009,"Amapa","dec",123,"2009-01-01"
"712",2010,"Amapa","dec",43,"2010-01-01"
"713",2011,"Amapa","dec",360,"2011-01-01"
"714",2012,"Amapa","dec",422,"2012-01-01"
"715",2013,"Amapa","dec",148,"2013-01-01"
"716",2014,"Amapa","dec",354,"2014-01-01"
"717",2015,"Amapa","dec",269,"2015-01-01"
"718",2016,"Amapa","dec",491,"2016-01-01"
"719",1998,"Amazonas","jan",0,"1998-01-01"
"720",1999,"Amazonas","jan",3,"1999-01-01"
"721",2000,"Amazonas","jan",7,"2000-01-01"
"722",2001,"Amazonas","jan",3,"2001-01-01"
"723",2002,"Amazonas","jan",17,"2002-01-01"
"724",2003,"Amazonas","jan",158,"2003-01-01"
"725",2004,"Amazonas","jan",123,"2004-01-01"
"726",2005,"Amazonas","jan",44,"2005-01-01"
"727",2006,"Amazonas","jan",20,"2006-01-01"
"728",2007,"Amazonas","jan",37,"2007-01-01"
"729",2008,"Amazonas","jan",16,"2008-01-01"
"730",2009,"Amazonas","jan",9,"2009-01-01"
"731",2010,"Amazonas","jan",82,"2010-01-01"
"732",2011,"Amazonas","jan",53,"2011-01-01"
"733",2012,"Amazonas","jan",6,"2012-01-01"
"734",2013,"Amazonas","jan",37,"2013-01-01"
"735",2014,"Amazonas","jan",46,"2014-01-01"
"736",2015,"Amazonas","jan",35,"2015-01-01"
"737",2016,"Amazonas","jan",770,"2016-01-01"
"738",2017,"Amazonas","jan",65,"2017-01-01"
"739",1998,"Amazonas","feb",0,"1998-01-01"
"740",1999,"Amazonas","feb",43,"1999-01-01"
"741",2000,"Amazonas","feb",62,"2000-01-01"
"742",2001,"Amazonas","feb",8,"2001-01-01"
"743",2002,"Amazonas","feb",2,"2002-01-01"
"744",2003,"Amazonas","feb",62,"2003-01-01"
"745",2004,"Amazonas","feb",92,"2004-01-01"
"746",2005,"Amazonas","feb",6,"2005-01-01"
"747",2006,"Amazonas","feb",10,"2006-01-01"
"748",2007,"Amazonas","feb",92,"2007-01-01"
"749",2008,"Amazonas","feb",32,"2008-01-01"
"750",2009,"Amazonas","feb",3,"2009-01-01"
"751",2010,"Amazonas","feb",81,"2010-01-01"
"752",2011,"Amazonas","feb",30,"2011-01-01"
"753",2012,"Amazonas","feb",25,"2012-01-01"
"754",2013,"Amazonas","feb",16,"2013-01-01"
"755",2014,"Amazonas","feb",49,"2014-01-01"
"756",2015,"Amazonas","feb",107,"2015-01-01"
"757",2016,"Amazonas","feb",275,"2016-01-01"
"758",2017,"Amazonas","feb",52,"2017-01-01"
"759",1998,"Amazonas","mar",0,"1998-01-01"
"760",1999,"Amazonas","mar",7,"1999-01-01"
"761",2000,"Amazonas","mar",69,"2000-01-01"
"762",2001,"Amazonas","mar",6,"2001-01-01"
"763",2002,"Amazonas","mar",5,"2002-01-01"
"764",2003,"Amazonas","mar",64,"2003-01-01"
"765",2004,"Amazonas","mar",6,"2004-01-01"
"766",2005,"Amazonas","mar",12,"2005-01-01"
"767",2006,"Amazonas","mar",20,"2006-01-01"
"768",2007,"Amazonas","mar",6,"2007-01-01"
"769",2008,"Amazonas","mar",10,"2008-01-01"
"770",2009,"Amazonas","mar",11,"2009-01-01"
"771",2010,"Amazonas","mar",116,"2010-01-01"
"772",2011,"Amazonas","mar",49,"2011-01-01"
"773",2012,"Amazonas","mar",17,"2012-01-01"
"774",2013,"Amazonas","mar",49,"2013-01-01"
"775",2014,"Amazonas","mar",50,"2014-01-01"
"776",2015,"Amazonas","mar",46,"2015-01-01"
"777",2016,"Amazonas","mar",140,"2016-01-01"
"778",2017,"Amazonas","mar",45,"2017-01-01"
"779",1998,"Amazonas","apr",0,"1998-01-01"
"780",1999,"Amazonas","apr",2,"1999-01-01"
"781",2000,"Amazonas","apr",18,"2000-01-01"
"782",2001,"Amazonas","apr",1,"2001-01-01"
"783",2002,"Amazonas","apr",2,"2002-01-01"
"784",2003,"Amazonas","apr",11,"2003-01-01"
"785",2004,"Amazonas","apr",4,"2004-01-01"
"786",2005,"Amazonas","apr",5,"2005-01-01"
"787",2006,"Amazonas","apr",5,"2006-01-01"
"788",2007,"Amazonas","apr",0,"2007-01-01"
"789",2008,"Amazonas","apr",13,"2008-01-01"
"790",2009,"Amazonas","apr",1,"2009-01-01"
"791",2010,"Amazonas","apr",11,"2010-01-01"
"792",2011,"Amazonas","apr",5,"2011-01-01"
"793",2012,"Amazonas","apr",3,"2012-01-01"
"794",2013,"Amazonas","apr",20,"2013-01-01"
"795",2014,"Amazonas","apr",25,"2014-01-01"
"796",2015,"Amazonas","apr",24,"2015-01-01"
"797",2016,"Amazonas","apr",22,"2016-01-01"
"798",2017,"Amazonas","apr",20,"2017-01-01"
"799",1998,"Amazonas","may",0,"1998-01-01"
"800",1999,"Amazonas","may",0,"1999-01-01"
"801",2000,"Amazonas","may",51,"2000-01-01"
"802",2001,"Amazonas","may",0,"2001-01-01"
"803",2002,"Amazonas","may",8,"2002-01-01"
"804",2003,"Amazonas","may",2,"2003-01-01"
"805",2004,"Amazonas","may",0,"2004-01-01"
"806",2005,"Amazonas","may",8,"2005-01-01"
"807",2006,"Amazonas","may",4,"2006-01-01"
"808",2007,"Amazonas","may",0,"2007-01-01"
"809",2008,"Amazonas","may",1,"2008-01-01"
"810",2009,"Amazonas","may",3,"2009-01-01"
"811",2010,"Amazonas","may",13,"2010-01-01"
"812",2011,"Amazonas","may",6,"2011-01-01"
"813",2012,"Amazonas","may",12,"2012-01-01"
"814",2013,"Amazonas","may",19,"2013-01-01"
"815",2014,"Amazonas","may",12,"2014-01-01"
"816",2015,"Amazonas","may",10,"2015-01-01"
"817",2016,"Amazonas","may",30,"2016-01-01"
"818",2017,"Amazonas","may",40,"2017-01-01"
"819",1998,"Amazonas","jun",2,"1998-01-01"
"820",1999,"Amazonas","jun",7,"1999-01-01"
"821",2000,"Amazonas","jun",6,"2000-01-01"
"822",2001,"Amazonas","jun",5,"2001-01-01"
"823",2002,"Amazonas","jun",5,"2002-01-01"
"824",2003,"Amazonas","jun",3,"2003-01-01"
"825",2004,"Amazonas","jun",12,"2004-01-01"
"826",2005,"Amazonas","jun",78,"2005-01-01"
"827",2006,"Amazonas","jun",9,"2006-01-01"
"828",2007,"Amazonas","jun",23,"2007-01-01"
"829",2008,"Amazonas","jun",7,"2008-01-01"
"830",2009,"Amazonas","jun",13,"2009-01-01"
"831",2010,"Amazonas","jun",9,"2010-01-01"
"832",2011,"Amazonas","jun",22,"2011-01-01"
"833",2012,"Amazonas","jun",45,"2012-01-01"
"834",2013,"Amazonas","jun",56,"2013-01-01"
"835",2014,"Amazonas","jun",74,"2014-01-01"
"836",2015,"Amazonas","jun",33,"2015-01-01"
"837",2016,"Amazonas","jun",90,"2016-01-01"
"838",2017,"Amazonas","jun",119,"2017-01-01"
"839",1998,"Amazonas","jul",71,"1998-01-01"
"840",1999,"Amazonas","jul",11,"1999-01-01"
"841",2000,"Amazonas","jul",39,"2000-01-01"
"842",2001,"Amazonas","jul",9,"2001-01-01"
"843",2002,"Amazonas","jul",146,"2002-01-01"
"844",2003,"Amazonas","jul",180,"2003-01-01"
"845",2004,"Amazonas","jul",177,"2004-01-01"
"846",2005,"Amazonas","jul",676,"2005-01-01"
"847",2006,"Amazonas","jul",123,"2006-01-01"
"848",2007,"Amazonas","jul",116,"2007-01-01"
"849",2008,"Amazonas","jul",108,"2008-01-01"
"850",2009,"Amazonas","jul",199,"2009-01-01"
"851",2010,"Amazonas","jul",640,"2010-01-01"
"852",2011,"Amazonas","jul",271,"2011-01-01"
"853",2012,"Amazonas","jul",234,"2012-01-01"
"854",2013,"Amazonas","jul",248,"2013-01-01"
"855",2014,"Amazonas","jul",202,"2014-01-01"
"856",2015,"Amazonas","jul",356,"2015-01-01"
"857",2016,"Amazonas","jul",1.137,"2016-01-01"
"858",2017,"Amazonas","jul",1.975,"2017-01-01"
"859",1998,"Amazonas","aug",321,"1998-01-01"
"860",1999,"Amazonas","aug",259,"1999-01-01"
"861",2000,"Amazonas","aug",180,"2000-01-01"
"862",2001,"Amazonas","aug",501,"2001-01-01"
"863",2002,"Amazonas","aug",741,"2002-01-01"
"864",2003,"Amazonas","aug",1.867,"2003-01-01"
"865",2004,"Amazonas","aug",1.207,"2004-01-01"
"866",2005,"Amazonas","aug",2.316,"2005-01-01"
"867",2006,"Amazonas","aug",1.422,"2006-01-01"
"868",2007,"Amazonas","aug",2.241,"2007-01-01"
"869",2008,"Amazonas","aug",861,"2008-01-01"
"870",2009,"Amazonas","aug",1.321,"2009-01-01"
"871",2010,"Amazonas","aug",3.727,"2010-01-01"
"872",2011,"Amazonas","aug",1.243,"2011-01-01"
"873",2012,"Amazonas","aug",3.011,"2012-01-01"
"874",2013,"Amazonas","aug",1.276,"2013-01-01"
"875",2014,"Amazonas","aug",3.852,"2014-01-01"
"876",2015,"Amazonas","aug",4.564,"2015-01-01"
"877",2016,"Amazonas","aug",3.611,"2016-01-01"
"878",2017,"Amazonas","aug",6.316,"2017-01-01"
"879",1998,"Amazonas","sep",267,"1998-01-01"
"880",1999,"Amazonas","sep",216,"1999-01-01"
"881",2000,"Amazonas","sep",189,"2000-01-01"
"882",2001,"Amazonas","sep",166,"2001-01-01"
"883",2002,"Amazonas","sep",928,"2002-01-01"
"884",2003,"Amazonas","sep",1.401,"2003-01-01"
"885",2004,"Amazonas","sep",911,"2004-01-01"
"886",2005,"Amazonas","sep",2.812,"2005-01-01"
"887",2006,"Amazonas","sep",2.218,"2006-01-01"
"888",2007,"Amazonas","sep",1.36,"2007-01-01"
"889",2008,"Amazonas","sep",998,"2008-01-01"
"890",2009,"Amazonas","sep",3.091,"2009-01-01"
"891",2010,"Amazonas","sep",2.781,"2010-01-01"
"892",2011,"Amazonas","sep",1.295,"2011-01-01"
"893",2012,"Amazonas","sep",2.392,"2012-01-01"
"894",2013,"Amazonas","sep",1.739,"2013-01-01"
"895",2014,"Amazonas","sep",3.057,"2014-01-01"
"896",2015,"Amazonas","sep",5.882,"2015-01-01"
"897",2016,"Amazonas","sep",3.119,"2016-01-01"
"898",2017,"Amazonas","sep",4.033,"2017-01-01"
"899",1998,"Amazonas","oct",83,"1998-01-01"
"900",1999,"Amazonas","oct",479,"1999-01-01"
"901",2000,"Amazonas","oct",145,"2000-01-01"
"902",2001,"Amazonas","oct",332,"2001-01-01"
"903",2002,"Amazonas","oct",695,"2002-01-01"
"904",2003,"Amazonas","oct",725,"2003-01-01"
"905",2004,"Amazonas","oct",710,"2004-01-01"
"906",2005,"Amazonas","oct",545,"2005-01-01"
"907",2006,"Amazonas","oct",721,"2006-01-01"
"908",2007,"Amazonas","oct",215,"2007-01-01"
"909",2008,"Amazonas","oct",632,"2008-01-01"
"910",2009,"Amazonas","oct",2.189,"2009-01-01"
"911",2010,"Amazonas","oct",889,"2010-01-01"
"912",2011,"Amazonas","oct",694,"2011-01-01"
"913",2012,"Amazonas","oct",1.238,"2012-01-01"
"914",2013,"Amazonas","oct",1.202,"2013-01-01"
"915",2014,"Amazonas","oct",952,"2014-01-01"
"916",2015,"Amazonas","oct",2.494,"2015-01-01"
"917",2016,"Amazonas","oct",2.105,"2016-01-01"
"918",2017,"Amazonas","oct",1.581,"2017-01-01"
"919",1998,"Amazonas","nov",6,"1998-01-01"
"920",1999,"Amazonas","nov",32,"1999-01-01"
"921",2000,"Amazonas","nov",27,"2000-01-01"
"922",2001,"Amazonas","nov",244,"2001-01-01"
"923",2002,"Amazonas","nov",259,"2002-01-01"
"924",2003,"Amazonas","nov",169,"2003-01-01"
"925",2004,"Amazonas","nov",209,"2004-01-01"
"926",2005,"Amazonas","nov",261,"2005-01-01"
"927",2006,"Amazonas","nov",59,"2006-01-01"
"928",2007,"Amazonas","nov",90,"2007-01-01"
"929",2008,"Amazonas","nov",39,"2008-01-01"
"930",2009,"Amazonas","nov",973,"2009-01-01"
"931",2010,"Amazonas","nov",354,"2010-01-01"
"932",2011,"Amazonas","nov",399,"2011-01-01"
"933",2012,"Amazonas","nov",682,"2012-01-01"
"934",2013,"Amazonas","nov",220,"2013-01-01"
"935",2014,"Amazonas","nov",676,"2014-01-01"
"936",2015,"Amazonas","nov",1.054,"2015-01-01"
"937",2016,"Amazonas","nov",591,"2016-01-01"
"938",2017,"Amazonas","nov",552,"2017-01-01"
"939",1998,"Amazonas","dec",196,"1998-01-01"
"940",1999,"Amazonas","dec",2,"1999-01-01"
"941",2000,"Amazonas","dec",60,"2000-01-01"
"942",2001,"Amazonas","dec",22,"2001-01-01"
"943",2002,"Amazonas","dec",44,"2002-01-01"
"944",2003,"Amazonas","dec",147,"2003-01-01"
"945",2004,"Amazonas","dec",53,"2004-01-01"
"946",2005,"Amazonas","dec",17,"2005-01-01"
"947",2006,"Amazonas","dec",23,"2006-01-01"
"948",2007,"Amazonas","dec",7,"2007-01-01"
"949",2008,"Amazonas","dec",0,"2008-01-01"
"950",2009,"Amazonas","dec",102,"2009-01-01"
"951",2010,"Amazonas","dec",123,"2010-01-01"
"952",2011,"Amazonas","dec",121,"2011-01-01"
"953",2012,"Amazonas","dec",80,"2012-01-01"
"954",2013,"Amazonas","dec",236,"2013-01-01"
"955",2014,"Amazonas","dec",293,"2014-01-01"
"956",2015,"Amazonas","dec",565,"2015-01-01"
"957",2016,"Amazonas","dec",133,"2016-01-01"
"958",1998,"Bahia","jan",0,"1998-01-01"
"959",1999,"Bahia","jan",114,"1999-01-01"
"960",2000,"Bahia","jan",31,"2000-01-01"
"961",2001,"Bahia","jan",24,"2001-01-01"
"962",2002,"Bahia","jan",125,"2002-01-01"
"963",2003,"Bahia","jan",439,"2003-01-01"
"964",2004,"Bahia","jan",158,"2004-01-01"
"965",2005,"Bahia","jan",303,"2005-01-01"
"966",2006,"Bahia","jan",225,"2006-01-01"
"967",2007,"Bahia","jan",373,"2007-01-01"
"968",2008,"Bahia","jan",314,"2008-01-01"
"969",2009,"Bahia","jan",177,"2009-01-01"
"970",2010,"Bahia","jan",297,"2010-01-01"
"971",2011,"Bahia","jan",101,"2011-01-01"
"972",2012,"Bahia","jan",179,"2012-01-01"
"973",2013,"Bahia","jan",125,"2013-01-01"
"974",2014,"Bahia","jan",132,"2014-01-01"
"975",2015,"Bahia","jan",256,"2015-01-01"
"976",2016,"Bahia","jan",285,"2016-01-01"
"977",2017,"Bahia","jan",154,"2017-01-01"
"978",1998,"Bahia","feb",0,"1998-01-01"
"979",1999,"Bahia","feb",157,"1999-01-01"
"980",2000,"Bahia","feb",32,"2000-01-01"
"981",2001,"Bahia","feb",101,"2001-01-01"
"982",2002,"Bahia","feb",204,"2002-01-01"
"983",2003,"Bahia","feb",223,"2003-01-01"
"984",2004,"Bahia","feb",122,"2004-01-01"
"985",2005,"Bahia","feb",143,"2005-01-01"
"986",2006,"Bahia","feb",277,"2006-01-01"
"987",2007,"Bahia","feb",113,"2007-01-01"
"988",2008,"Bahia","feb",235,"2008-01-01"
"989",2009,"Bahia","feb",117,"2009-01-01"
"990",2010,"Bahia","feb",206,"2010-01-01"
"991",2011,"Bahia","feb",156,"2011-01-01"
"992",2012,"Bahia","feb",200,"2012-01-01"
"993",2013,"Bahia","feb",231,"2013-01-01"
"994",2014,"Bahia","feb",107,"2014-01-01"
"995",2015,"Bahia","feb",143,"2015-01-01"
"996",2016,"Bahia","feb",418,"2016-01-01"
"997",2017,"Bahia","feb",100,"2017-01-01"
"998",1998,"Bahia","mar",0,"1998-01-01"
"999",1999,"Bahia","mar",83,"1999-01-01"
"1000",2000,"Bahia","mar",65,"2000-01-01"
"1001",2001,"Bahia","mar",4,"2001-01-01"
"1002",2002,"Bahia","mar",146,"2002-01-01"
"1003",2003,"Bahia","mar",274,"2003-01-01"
"1004",2004,"Bahia","mar",115,"2004-01-01"
"1005",2005,"Bahia","mar",158,"2005-01-01"
"1006",2006,"Bahia","mar",199,"2006-01-01"
"1007",2007,"Bahia","mar",141,"2007-01-01"
"1008",2008,"Bahia","mar",135,"2008-01-01"
"1009",2009,"Bahia","mar",249,"2009-01-01"
"1010",2010,"Bahia","mar",156,"2010-01-01"
"1011",2011,"Bahia","mar",90,"2011-01-01"
"1012",2012,"Bahia","mar",404,"2012-01-01"
"1013",2013,"Bahia","mar",363,"2013-01-01"
"1014",2014,"Bahia","mar",148,"2014-01-01"
"1015",2015,"Bahia","mar",229,"2015-01-01"
"1016",2016,"Bahia","mar",281,"2016-01-01"
"1017",2017,"Bahia","mar",163,"2017-01-01"
"1018",1998,"Bahia","apr",0,"1998-01-01"
"1019",1999,"Bahia","apr",55,"1999-01-01"
"1020",2000,"Bahia","apr",23,"2000-01-01"
"1021",2001,"Bahia","apr",26,"2001-01-01"
"1022",2002,"Bahia","apr",110,"2002-01-01"
"1023",2003,"Bahia","apr",376,"2003-01-01"
"1024",2004,"Bahia","apr",89,"2004-01-01"
"1025",2005,"Bahia","apr",76,"2005-01-01"
"1026",2006,"Bahia","apr",60,"2006-01-01"
"1027",2007,"Bahia","apr",64,"2007-01-01"
"1028",2008,"Bahia","apr",151,"2008-01-01"
"1029",2009,"Bahia","apr",40,"2009-01-01"
"1030",2010,"Bahia","apr",103,"2010-01-01"
"1031",2011,"Bahia","apr",149,"2011-01-01"
"1032",2012,"Bahia","apr",396,"2012-01-01"
"1033",2013,"Bahia","apr",108,"2013-01-01"
"1034",2014,"Bahia","apr",183,"2014-01-01"
"1035",2015,"Bahia","apr",190,"2015-01-01"
"1036",2016,"Bahia","apr",217,"2016-01-01"
"1037",2017,"Bahia","apr",94,"2017-01-01"
"1038",1998,"Bahia","may",0,"1998-01-01"
"1039",1999,"Bahia","may",76,"1999-01-01"
"1040",2000,"Bahia","may",71,"2000-01-01"
"1041",2001,"Bahia","may",85,"2001-01-01"
"1042",2002,"Bahia","may",166,"2002-01-01"
"1043",2003,"Bahia","may",106,"2003-01-01"
"1044",2004,"Bahia","may",124,"2004-01-01"
"1045",2005,"Bahia","may",120,"2005-01-01"
"1046",2006,"Bahia","may",43,"2006-01-01"
"1047",2007,"Bahia","may",161,"2007-01-01"
"1048",2008,"Bahia","may",56,"2008-01-01"
"1049",2009,"Bahia","may",34,"2009-01-01"
"1050",2010,"Bahia","may",198,"2010-01-01"
"1051",2011,"Bahia","may",189,"2011-01-01"
"1052",2012,"Bahia","may",326,"2012-01-01"
"1053",2013,"Bahia","may",141,"2013-01-01"
"1054",2014,"Bahia","may",224,"2014-01-01"
"1055",2015,"Bahia","may",144,"2015-01-01"
"1056",2016,"Bahia","may",259,"2016-01-01"
"1057",2017,"Bahia","may",121,"2017-01-01"
"1058",1998,"Bahia","jun",55,"1998-01-01"
"1059",1999,"Bahia","jun",64,"1999-01-01"
"1060",2000,"Bahia","jun",178,"2000-01-01"
"1061",2001,"Bahia","jun",98,"2001-01-01"
