"","year","state","month","number","date"
"113",2010,"Acre","jun",1,"2010-01-01"
"114",2011,"Acre","jun",10,"2011-01-01"
"115",2012,"Acre","jun",7,"2012-01-01"
"116",2013,"Acre","jun",8,"2013-01-01"
"117",2014,"Acre","jun",17,"2014-01-01"
"118",2015,"Acre","jun",40,"2015-01-01"
"119",2016,"Acre","jun",87,"2016-01-01"
"120",2017,"Acre","jun",45,"2017-01-01"
"121",1998,"Acre","jul",37,"1998-01-01"
"122",1999,"Acre","jul",1,"1999-01-01"
"123",2000,"Acre","jul",1,"2000-01-01"
"124",2001,"Acre","jul",3,"2001-01-01"
"125",2002,"Acre","jul",39,"2002-01-01"
"126",2003,"Acre","jul",168,"2003-01-01"
"127",2004,"Acre","jul",42,"2004-01-01"
"128",2005,"Acre","jul",368,"2005-01-01"
"129",2006,"Acre","jul",33,"2006-01-01"
"130",2007,"Acre","jul",29,"2007-01-01"
"131",2008,"Acre","jul",41,"2008-01-01"
"132",2009,"Acre","jul",31,"2009-01-01"
"133",2010,"Acre","jul",126,"2010-01-01"
"134",2011,"Acre","jul",93,"2011-01-01"
"135",2012,"Acre","jul",71,"2012-01-01"
"136",2013,"Acre","jul",54,"2013-01-01"
"137",2014,"Acre","jul",60,"2014-01-01"
"138",2015,"Acre","jul",109,"2015-01-01"
"139",2016,"Acre","jul",533,"2016-01-01"
"140",2017,"Acre","jul",457,"2017-01-01"
"141",1998,"Acre","aug",130,"1998-01-01"
"142",1999,"Acre","aug",63,"1999-01-01"
"143",2000,"Acre","aug",136,"2000-01-01"
"144",2001,"Acre","aug",396,"2001-01-01"
"145",2002,"Acre","aug",728,"2002-01-01"
"146",2003,"Acre","aug",1.976,"2003-01-01"
"147",2004,"Acre","aug",645,"2004-01-01"
"148",2005,"Acre","aug",4.198,"2005-01-01"
"149",2006,"Acre","aug",839,"2006-01-01"
"150",2007,"Acre","aug",960,"2007-01-01"
"151",2008,"Acre","aug",445,"2008-01-01"
"152",2009,"Acre","aug",194,"2009-01-01"
"153",2010,"Acre","aug",1.682,"2010-01-01"
"154",2011,"Acre","aug",425,"2011-01-01"
"155",2012,"Acre","aug",739,"2012-01-01"
"156",2013,"Acre","aug",679,"2013-01-01"
"157",2014,"Acre","aug",1.1,"2014-01-01"
"158",2015,"Acre","aug",1.397,"2015-01-01"
"159",2016,"Acre","aug",2.188,"2016-01-01"
"160",2017,"Acre","aug",1.493,"2017-01-01"
"161",1998,"Acre","sep",509,"1998-01-01"
"162",1999,"Acre","sep",209,"1999-01-01"
"163",2000,"Acre","sep",265,"2000-01-01"
"164",2001,"Acre","sep",290,"2001-01-01"
"165",2002,"Acre","sep",1.949,"2002-01-01"
"166",2003,"Acre","sep",3.942,"2003-01-01"
"167",2004,"Acre","sep",1.978,"2004-01-01"
"168",2005,"Acre","sep",4.253,"2005-01-01"
"169",2006,"Acre","sep",2.37,"2006-01-01"
"170",2007,"Acre","sep",2.08,"2007-01-01"
"171",2008,"Acre","sep",1.666,"2008-01-01"
"172",2009,"Acre","sep",1.265,"2009-01-01"
"173",2010,"Acre","sep",2.531,"2010-01-01"
"174",2011,"Acre","sep",1.204,"2011-01-01"
"175",2012,"Acre","sep",1.996,"2012-01-01"
"176",2013,"Acre","sep",2.136,"2013-01-01"
"177",2014,"Acre","sep",2.175,"2014-01-01"
"178",2015,"Acre","sep",2.928,"2015-01-01"
"179",2016,"Acre","sep",3.586,"2016-01-01"
"180",2017,"Acre","sep",3.429,"2017-01-01"
"181",1998,"Acre","oct",44,"1998-01-01"
"182",1999,"Acre","oct",60,"1999-01-01"
"183",2000,"Acre","oct",18,"2000-01-01"
"184",2001,"Acre","oct",137,"2001-01-01"
